1;type;receiver_timestamp;sender_timestamp
1388;D;136308621;136306829
1389;D;136307917;136306989
1390;D;136308237;136307149
1391;D;136308557;136307309
1392;D;136308877;136307469
1393;D;136309197;136307629
1394;D;136309517;136307789
1395;D;136308813;136307949
1396;D;136309133;136308109
1397;D;136309453;136308269
1398;D;136309773;136308429
1399;D;136310093;136308589
1400;!;;
1401;D;136310605;136309869
1402;D;136310925;136310029
1403;D;136311245;136310189
1404;D;136311565;136310349
1405;D;136311885;136310509
1406;D;136311789;136310669
1407;D;136311501;136310829
1408;D;136311821;136310989
1409;D;136312141;136311149
1410;D;136312461;136311309
1411;D;136312781;136311469
1412;D;136313101;136311629
1413;D;136313421;136311789
1414;D;136313069;136311949
1415;D;136313037;136312109
1416;D;136313357;136312269
1417;D;136313677;136312429
1418;D;136313869;136312589
1419;D;136313293;136312749
1420;D;136313613;136312909
1421;D;136313933;136313069
1422;D;136314253;136313229
1423;D;136313549;136313389
1424;D;136313869;136313549
1425;D;136314189;136313709
1426;D;136314509;136313869
1427;D;136314829;136314029
1428;D;136315149;136314189
1429;D;136315469;136314349
1430;D;136315789;136314509
1431;D;136316109;136314669
1432;D;136316429;136314829
1433;D;136315725;136314989
1434;D;136316045;136315149
1435;D;136316365;136315309
1436;D;136316685;136315469
1437;D;136317005;136315629
1438;D;136317325;136315789
1439;D;136317389;136315949
1440;D;136316941;136316109
1441;D;136317261;136316269
1442;D;136317581;136316429
1443;D;136317901;136316589
1444;!;;
1445;D;136318413;136317869
1446;D;136318733;136318029
1447;D;136319053;136318189
1448;D;136319373;136318349
1449;D;136319693;136318509
1450;D;136320013;136318669
1451;D;136320333;136318829
1452;D;136320653;136318989
1453;D;136320973;136319149
1454;D;136320269;136319309
1455;D;136320589;136319469
1456;D;136320909;136319629
1457;D;136321229;136319789
1458;D;136321549;136319949
1459;D;136321869;136320109
1460;D;136321165;136320269
1461;D;136321485;136320429
1462;D;136321805;136320589
1463;D;136322125;136320749
1464;D;136322445;136320909
1465;D;136322509;136321069
1466;D;136322061;136321229
1467;D;136322381;136321389
1468;D;136322701;136321549
1469;D;136323021;136321709
1470;D;136323341;136321869
1471;D;136323661;136322029
1472;D;136323981;136322189
1473;D;136323277;136322349
1474;D;136323597;136322509
1475;D;136323917;136322669
1476;D;136324237;136322829
1477;D;136324557;136322989
1478;D;136324877;136323149
1479;D;136324173;136323309
1480;D;136324493;136323469
1481;D;136324813;136323629
1482;D;136325133;136323789
1483;D;136325453;136323949
1484;D;136325773;136324109
1485;D;136325069;136324269
1486;D;136325389;136324429
1487;D;136325709;136324589
1488;D;136326029;136324749
1489;D;136326349;136324909
1490;D;136326669;136325069
1491;D;136326989;136325229
1492;D;136326285;136325389
1493;D;136326605;136325549
1494;D;136326925;136325709
1495;D;136327245;136325869
1496;D;136327565;136326029
1497;D;136326861;136326189
1498;D;136327181;136326349
1499;D;136327501;136326509
1500;D;136327821;136326669
1501;D;136328141;136326829
1502;D;136327789;136326989
1503;D;136327757;136327149
1504;D;136328077;136327309
1505;D;136328397;136327469
1506;D;136328717;136327629
1507;D;136329037;136327789
1508;!;;
1509;D;136330445;136330029
1510;D;136330765;136330189
1511;D;136331085;136330349
1512;D;136331405;136330509
1513;D;136331725;136330669
1514;D;136332045;136330829
1515;D;136332365;136330989
